no.gas.cons.full,no.diesel.cons.full
326.461543692504,98.3080422138183
340.821167842884,107.550195616126
334.343379952125,107.694792956761
330.267907277163,109.032315031678
334.889752495087,111.791934795167
343.229584500847,117.720238579684
354.822432990129,127.291642059767
377.361580304567,143.286624301989
402.17365743347,158.613835061768
414.3872383061,168.859814110901
417.390428479663,170.329503255503
416.853860547006,171.283879135092
416.836320778182,170.931183577026
403.357132733827,209.773866587575
392.170494547757,226.763664902094
386.828265643412,258.117421859183
385.78494322643,251.578824303667
379.199409797797,274.592676060474
382.3034800344,300.59324370466
374.106984155162,303.734917960926
376.850629949832,309.378571054622
360.159420410035,303.681403021529
355.825371239646,439.548988001916
367.3219900699,445.970546447954
362.261436851375,453.26750340832
356.41876905181,448.864202696471
352.141048060611,473.2235605663
337.205683137834,502.672230668586
321.62709408955,541.123102931184
301.540425634928,571.865046644269
278.930550906713,555.973601844884
258.039076973926,548.798999984675
239.504938587743,599.68273265522
213.200330783544,582.666813107298
181.384414904703,440.981007394539
165.212384357912,448.228210638174
154.212466209562,460.069460500813
141.966021939619,467.4186078627
132.300758518862,449.807354480986
