year,log_gas_cons,gas_exexcise_with_vat,tax,d_carbontax,t,real_gdp_cap_1000,urban_pop,unemploymentrate,real_oil_price_sek,real_taxdiff
1978,5.78831215829556,4.31099075837239,4.39082392056447,0,1,199.562963711358,69.614,1.8,224.777330568122,5.04838103510841
1979,5.83135790524131,4.80171935990041,4.19197721896067,0,2,209.941275643503,70.081,2,469.770059762456,4.95765606467254
1980,5.8121685485496,6.15988196929598,4.47365729613674,0,3,223.261362328021,70.545,1.7,509.783601522596,5.44574787178495
1981,5.79990416533032,6.53425057109562,4.38641820744845,0,4,224.535926747666,70.787,2.1,494.630603478683,5.44772391724138
1982,5.81380138063116,6.47221438470693,3.94315582261557,0,5,222.570182115185,70.918,2.7,480.402188322163,4.98343636613902
1983,5.83839956582418,6.23763677844678,4.0331707683933,0,6,227.487375355225,71.049,3.5,453.019834491739,5.0330666319797
1984,5.87161747557909,6.11313736620804,4.13049822041084,0,7,240.537886633917,71.18,3.2,461.180473358813,5.11198704898447
1985,5.93320382675759,5.61764876711691,3.90114497716452,0,8,251.86356573392,71.31,2.6,441.634321042996,4.79844091293139
1986,5.99688397900629,3.91160599969232,4.34854071242391,0,9,242.334576025981,71.44,2,185.29812628897,4.89361632944701
1987,6.02680089487769,3.50522197245393,4.63532085974782,0,10,242.029591666705,71.57,2.1,198.845449144329,4.9800967914646
1988,6.03402206309044,3.17456751346558,4.84256061376106,0,11,236.079949599646,71.699,3.2,145.489094471369,5.02752578845592
1989,6.03273570605161,3.70716197671611,4.56530132317817,0,12,239.937069773235,71.828,4.9,180.24535378186,4.83753044180669
1990,6.03269362862472,3.82645015973832,4.3377430690137,0,13,243.0181765403,71.956,5.2,204.078826581346,4.48068517268209
1991,5.99982235495993,3.7641542476629,5.23153641200606,1,14,246.324332339187,72.265,5.5,172.974369250917,4.94297921033508
1992,5.97169668030443,3.29062446778303,6.03541075370632,1,15,246.342368474715,72.665,5.9,155.906573622472,5.77844592882124
1993,5.95798083651269,3.59123012131133,5.99054334891158,1,16,251.834746144219,73.061,6,153.369454731472,5.33180717244499
1994,5.95528007230317,3.68109929201049,5.91114284650648,1,17,259.066957378177,73.453,5.4,139.991799675225,3.50630260937957
1995,5.93806221393925,4.09109760343317,5.82078960488469,1,18,270.045630762252,73.787,4.9,131.626035478021,2.56657991830672
1996,5.94621474354977,3.47250167676066,6.66304808916896,1,19,290.556695488309,74.062,4.7,160.595261613146,1.55695629922992
1997,5.92454181039973,3.26941956048214,7.07409807555648,1,20,304.893746558127,74.476,3.9,159.395641526022,1.50622327350733
1998,5.93184890190764,2.95816472049474,7.07694909209268,1,21,302.09965510172,75.027,3.1,110.968955621481,1.48455238741259
1999,5.88654676790023,3.23666755500481,7.15109882879269,1,22,318.894942590726,75.569,3,157.034214622285,1.50645096907886
2000,5.87444008027701,4.44183510764825,7.08546506597667,1,23,366.019628102348,76.02,3.2,274.53152125864,1.03603927766733
2001,5.90623882054046,4.08504813067047,6.06846378253941,1,24,366.908555558482,76.378,3.4,232.668968221772,1.5352025311944
2002,5.89236615241084,3.48471398288484,5.88126449156028,1,25,359.576093454103,76.733,3.7,208.638120141537,1.48434033858394
2003,5.87610635709388,3.69125061219899,5.86554891801483,1,26,362.030124945138,77.084,4.2,208.264241853046,1.52990387356678
2004,5.86403180005505,4.19162503377931,5.94128233016166,1,27,394.237438575228,77.399,4.3,262.129484168908,1.60420777906079
2005,5.82069307989384,4.7988901734104,6.01110982658959,1,28,430.453619719459,77.675,4.5,351.824925,1.56
2006,5.77339278154706,5.22707604900831,5.97205651393706,1,29,464.678485922816,77.95,3.4,408.25481201802,1.59289581828979
2007,5.70890408888698,5.31365089209717,6.02941665153491,1,30,484.269533445947,78.234,2.5,411.505538750458,1.63014144339623
2008,5.63096282935396,5.72933408911066,5.99826201574239,1,31,511.365282874562,78.526,2.7,512.164883671941,1.19707520049537
2009,5.55311103459179,4.80633257470102,6.06513396331319,1,32,460.20272507901,78.815,3.3,355.052347677222,1.34520671808762
2010,5.47857403704649,5.30616438292121,6.03227108795254,1,33,473.608163645038,79.102,3.7,429.387818407996,1.29556591274759
2011,5.36223224380805,6.00087080274218,6.06705687777243,1,34,497.393299419839,79.455,3.4,549.839083711377,1.31441609970517
2012,5.20061861836,6.9329377668339,6.11149964280145,1,35,517.367811698819,79.874,3.3,569.170591936886,3.18883493425606
2013,5.107231824124,6.53269768726879,6.10362066347445,1,36,518.639520342694,80.286,3.8,547.741078435696,1.41547354234395
2014,5.03833130228149,6.3283943328281,6.09712410804036,1,37,514.0114019003,80.692,3.6,524.164301988059,1.42918683014049
2015,4.95558774685337,5.30920821843716,5.98829299056284,1,38,493.155974079677,81.091,4.5,347.499309610191,1.374131611
2016,4.8850778044292,4.84720727184935,5.91994986479962,1,39,470.180129091142,81.485,4.8,291.824127241333,1.4144309744085
