se.gas.cons.full,se.diesel.cons.full
442.1432213,180.1682271
438.4062174,174.5908148
423.0776589,167.0170053
415.9604293,159.0048102
418.7255105,156.3914557
429.4616194,154.8799242
446.1048592,152.70005
449.0810365,168.7347148
470.1410268,187.936934
487.508401,185.1674557
503.4084677,203.9948135
518.3113928,207.348106
486.7484886,195.8210434
493.305676,178.0124458
501.8419908,192.3150802
472.4403488,207.7177644
473.5361293,228.5683049
481.5939025,220.2348968
475.6250369,220.110897
466.422234,233.6632956
453.8483561,255.9040395
455.5269131,268.9132855
448.2586947,293.8421969
443.1224961,293.5040176
452.8872853,293.2226684
447.2982327,303.8547016
436.5359946,322.565186
427.705765,340.8799443
411.9814922,352.0729299
399.4275528,361.1682086
364.7649034,370.4050387
357.3688917,353.3897617
330.1299215,380.1399128
301.7182489,437.9200681
291.010071406728,389.847635727471
276.820768394022,386.833545494069
294.188195007103,375.091238706829
263.059649157582,389.140644373663
245.61035787497,408.811843500442
