year,log_diesel_cons,diesel_exexcise_with_vat,tax,d_carbontax,t,real_gdp_cap_1000,urban_pop,unemploymentrate,real_oil_price_sek,real_taxdiff
1978,4.5881058367651,2.88953388193705,0.0332130331257132,0,1,199.562963711358,69.614,1.8,224.777330568122,5.04838103510841
1979,4.67795767455101,3.2415443499782,0.0317798465684137,0,2,209.941275643503,70.081,2,469.770059762456,4.95765606467254
1980,4.67930123533117,4.52856928285275,0.0573236618082626,0,3,223.261362328021,70.545,1.7,509.783601522596,5.44574787178495
1981,4.69164430647167,4.99374692413793,0.0504418881226054,0,4,224.535926747666,70.787,2.1,494.630603478683,5.44772391724138
1982,4.7166394185407,4.91548041569167,0.0453039669649002,0,5,222.570182115185,70.918,2.7,480.402188322163,4.98343636613902
1983,4.768310950034,4.69892112944163,0.0417681878172589,0,6,227.487375355225,71.049,3.5,453.019834491739,5.0330666319797
1984,4.84648084794657,4.5418038781362,0.0393229772998805,0,7,240.537886633917,71.18,3.2,461.180473358813,5.11198704898447
1985,4.9648469899472,4.31487710000032,0.0557958245689696,0,8,251.86356573392,71.31,2.6,441.634321042996,4.79844091293139
1986,5.06647253781594,2.89799264899876,0.104119496371213,0,9,242.334576025981,71.44,2,185.29812628897,4.89361632944701
1987,5.12906886839331,2.55389579049467,0.239427730358875,0,10,242.029591666705,71.57,2.1,198.845449144329,4.9800967914646
1988,5.13773481550296,2.33420840178311,0.344146110519304,0,11,236.079949599646,71.699,3.2,145.489094471369,5.02752578845592
1989,5.1433222919412,2.44738966138741,0.343493285808759,0,12,239.937069773235,71.828,4.9,180.24535378186,4.83753044180669
1990,5.1412610402818,2.77637547509749,0.494799589621335,0,13,243.0181765403,71.956,5.2,204.078826581346,4.48068517268209
1991,5.3460301247506,2.85682938231732,0.916842918046023,1,14,246.324332339187,72.265,5.5,172.974369250917,4.94297921033508
1992,5.42390835135625,2.73989233928378,0.805086848509926,1,15,246.342368474715,72.665,5.9,155.906573622472,5.77844592882124
1993,5.55341460486954,2.91979916586273,1.30756223514722,1,16,251.834746144219,73.061,6,153.369454731472,5.33180717244499
1994,5.52775635714942,3.60648268393327,3.06801478320712,1,17,259.066957378177,73.453,5.4,139.991799675225,3.50630260937957
1995,5.6152888216762,2.77435067359822,4.0209752053472,1,18,270.045630762252,73.787,4.9,131.626035478021,2.56657991830672
1996,5.70575800103388,4.13940190910408,4.98508617010384,1,19,290.556695488309,74.062,4.7,160.595261613146,1.55695629922992
1997,5.71615534061848,3.71954499001686,5.48524338994705,1,20,304.893746558127,74.476,3.9,159.395641526022,1.50622327350733
1998,5.73456567605916,3.5102238028831,5.49180175612356,1,21,302.09965510172,75.027,3.1,110.968955621481,1.48455238741259
1999,5.71597913547652,3.81887915008739,5.53460746389477,1,22,318.894942590726,75.569,3,157.034214622285,1.50645096907886
2000,6.08574917394422,4.81489009056222,5.98172975039206,1,23,366.019628102348,76.02,3.2,274.53152125864,1.03603927766733
2001,6.10025291048501,4.73789947350377,4.40979009168218,1,24,366.908555558482,76.378,3.4,232.668968221772,1.5352025311944
2002,6.11648246644767,4.34412532237761,4.22741747789583,1,25,359.576093454103,76.733,3.7,208.638120141537,1.48434033858394
2003,6.10672039811374,4.34815102287888,4.20911130993798,1,26,362.030124945138,77.084,4.2,208.264241853046,1.52990387356678
2004,6.15956792073437,4.54498462163781,4.26800494940504,1,27,394.237438575228,77.399,4.3,262.129484168908,1.60420777906079
2005,6.21993832880787,5.52781170483461,4.30218829516539,1,28,430.453619719459,77.675,4.5,351.824925,1.56
2006,6.29364679996932,5.73044917944658,4.2764546115273,1,29,464.678485922816,77.95,3.4,408.25481201802,1.59289581828979
2007,6.34890303110327,5.72490149764151,4.31793418042453,1,30,484.269533445947,78.234,2.5,411.505538750458,1.63014144339623
2008,6.32072081442718,6.92340998086908,4.56103022388335,1,31,511.365282874562,78.526,2.7,512.164883671941,1.19707520049537
2009,6.30773225422466,5.15650843130882,4.6534344380104,1,32,460.20272507901,78.815,3.3,355.052347677222,1.34520671808762
2010,6.39640073645531,5.88463897949464,4.6228473197548,1,33,473.608163645038,79.102,3.7,429.387818407996,1.29556591274759
2011,6.36761551887565,6.55131718274449,4.64327362615393,1,34,497.393299419839,79.455,3.4,549.839083711377,1.31441609970517
2012,6.08900180738687,7.21733350504699,2.61198736373129,1,35,517.367811698819,79.874,3.3,569.170591936886,3.18883493425606
2013,6.10530250146141,6.61500983121298,4.67446399742117,1,36,518.639520342694,80.286,3.8,547.741078435696,1.41547354234395
2014,6.13137747917235,6.34727092209451,4.665874651341,1,37,514.0114019003,80.692,3.6,524.164301988059,1.42918683014049
2015,6.14722523274298,5.48436903992536,4.57888221907464,1,38,493.155974079677,81.091,4.5,347.499309610191,1.374131611
2016,6.10881938994954,4.73693081522976,4.52838669128883,1,39,470.180129091142,81.485,4.8,291.824127241333,1.4144309744085
