gas_totalprice,gas_totalprice_less_vat,gas_excise_tax,gas_excisetax_with_vat,crude
2.62,2.18,1.1,1.32201834862385,67.6774475
2.83,2.36,1.1,1.31906779661017,147.82011573
3.71,3.09,1.3,1.56084142394822,177.86149225
4.33,3.61,1.45,1.73919667590028,196.11898836
4.61,3.84,1.45,1.74075520833333,212.07952438
4.93,4.11,1.61,1.93121654501217,216.92099091
5.21,4.34,1.75,2.1008064516129,234.56030292
5.13,4.28,1.75,2.09754672897196,237.45557546
4.76,3.97,2.09,2.50589420654912,106.78007448
5.1,4.25,2.42,2.904,124.5754505
5.37,4.48,2.7,3.23638392857143,97.23338636
5.78,4.82,2.66,3.18979253112033,125.93808
5.94,4.95,2.63,3.156,148.48108024
6.77,5.64,3.28,3.93716312056738,130.17749544
7.17,5.97,3.87,4.64788944723618,120.06415932
7.56,6.2,3.87,4.71890322580645,120.81301687
7.66,6.28,3.87,4.72041401273885,111.79213056
8.11,6.59,3.87,4.76262518968134,107.697669
8.41,6.84,4.49,5.52059941520468,133.05953904
8.79,7.15,4.89,6.01162237762238,135.45562915
8.72,7.09,5,6.14950634696756,96.42633966
9.24,7.51,5.17,6.36095872170439,139.68317052
10.57,8.59,5.28,6.4970430733411,251.7326812
9.59,7.73,4.62,5.73166882276844,219.75602376
8.96,7.23,4.54,5.6263347164592,199.594475
9.37,7.56,4.64,5.75089947089947,204.19345828
9.98,8.05,4.72,5.85162732919255,258.1739039
10.81,8.65,4.81,6.01110982658959,351.824925
11.46,9.17,4.89,6.11116684841876,417.76451162
11.69,9.35,4.97,6.21382887700535,424.09160745
12.54,10.03,5.13,6.41377866400798,547.644
11.88,9.5,5.3,6.62778947368421,387.9901461
12.69,10.15,5.4,6.75133004926108,480.57171817
13.68,10.94,5.5,6.87751371115174,623.28834447
14.89,11.91,5.58,6.97617128463476,649.6984
14.73,11.78,5.69,7.11491511035654,638.495
14.78,11.82,5.8,7.25245346869712,623.48693298
13.73,10.98,5.82,7.27765027322404,422.32042579
13.55,10.84,5.96,7.45,367.248
