year,log_gas_cons,gas_totaltax,extaxprice_lessVAT,dummy,t,real_gdp_cap_1000,urban_pop,unemploymentrate,real_oil_price_sek,real_taxdiff_exVAT,gas_energytax,gas_carbontax
1978,6.09163385968178,3.29883282597211,3.05953925310366,0,1,193.361668761848,82.944,2.8,199.41192234668,3.10397948806495,0,0
1979,6.08314591755879,3.47556252026524,3.52339136228724,0,2,201.697245137545,83.016,2.6,399.019935445114,3.28424715217724,0,0
1980,6.0475557529757,4.07174414915002,4.19232610398022,0,3,201.148312539058,83.087,2.5,427.104076322093,3.7268236737055,0,0
1981,6.03059013386189,4.10238931265276,4.72024916644864,0,4,195.813478948915,83.1,3.2,432.796602148835,3.48703091575485,0,0
1982,6.03721559904106,3.90229283563194,5.22455735018492,0,5,197.218787563269,83.1,4,475.569476694641,3.13289153273875,0,0
1983,6.06253237631379,3.62657836986149,5.22828188560544,0,6,202.865243759799,83.1,4.4,482.294977594555,2.79081497657369,0,0
1984,6.10055403469987,3.52498362021841,4.7391446449603,0,7,210.444378028115,83.1,3.9,465.555420171905,2.48903010072089,0,0
1985,6.10720335363993,4.24959070305876,4.25506227907129,0,8,212.720676489674,83.1,3.6,433.422519584844,3.28476946618405,0,0
1986,6.15303270671728,4.11189221329514,3.14603497851262,0,9,222.286585485954,83.1,3.4,179.986338282802,3.18627902996189,2.13,0
1987,6.18930752310993,4.14811457456973,2.88856561468013,0,10,230.145757830772,83.1,2.9,196.883914488043,2.88352741884057,2.33,0
1988,6.22140190357683,4.41174791860407,2.68196186418736,0,11,236.629142093542,83.1,2.5,145.075217119196,3.018397316973,2.58,0
1989,6.25057620604611,4.23414809557606,2.93557661978495,0,12,244.638873747628,83.1,2.2,175.316121809065,2.70150575675487,2.58,0
1990,6.18774753916274,5.71818863214793,3.01646945796984,0,13,242.606013539606,83.1,2.4,189.652173990872,2.55852805794665,2.92,0
1991,6.20112901435635,5.67771469176964,2.71172590822128,1,14,235.604407440735,83.204,3.9,149.883197403598,2.44512017486862,2.37,0.58
1992,6.21828531078205,5.52071298975128,2.45833889192026,1,15,228.431321565216,83.361,6.5,135.656485418091,2.40528989180035,2.37,0.58
1993,6.15791149303818,6.30181661150801,2.87231137115683,1,16,217.068869045261,83.516,10.2,152.597167420335,2.91490677024813,3.14,0.74
1994,6.16022821235515,6.17432256340532,2.66626157784577,1,17,225.05948860477,83.671,10.6,137.731640935537,1.68359881542755,3.14,0.77
1995,6.17710123299253,6.13195744179798,2.47478103032206,1,18,235.898719719384,83.824,10,133.380310053448,1.67955139257857,3.22,0.79
1996,6.16462980619808,6.40359073940813,2.58419294831403,1,19,240.457877106836,83.914,10.7,151.357857404078,1.78442789953437,3.41,0.86
1997,6.14509130542662,6.59756423465762,2.72271802435211,1,20,249.89302396289,83.942,11,158.915671127629,1.8662302785679,3.61,0.86
1998,6.11776312484423,6.71440989417625,2.50114765575954,1,21,263.234464879444,83.97,9.3,110.725439493148,1.95950478651662,3.61,0.86
1999,6.12145479969662,6.70196256942302,2.77711624760811,1,22,275.528078878231,83.998,7.9,160.530429573807,1.9201155305728,3.58,0.85
2000,6.10537050928541,6.94220409259754,3.72429843220658,1,23,290.162688863369,84.026,6.7,281.730896532983,1.66432274048954,3.61,0.86
2001,6.09384624672036,6.76860286383481,3.45306884119012,1,24,293.805741840648,84.071,5.8,265.037032548097,1.53178091799829,3.26,1.24
2002,6.11564327620032,6.73863784085227,2.18489309892511,1,25,297.498884613641,84.133,6,250.171364605891,1.54052434397401,3.16,1.46
2003,6.10322555939143,6.72122993774772,3.13879219865116,1,26,302.41444876181,84.196,6.6,235.141218424911,1.54469310900533,2.94,1.77
2004,6.07887083373554,6.88204694280216,3.46764356248038,1,27,314.072571964429,84.258,7.4,282.737886064027,1.46561180696955,2.68,2.11
2005,6.05843549421614,7.228,4.113,1,28,322.567892160244,84.319,7.7,408.10533568,1.315,2.84,2.12
2006,6.02097842649585,7.27011078081308,4.46526277567648,1,29,336.863325941787,84.43,7.1,474.169411068163,1.30721899641435,2.86,2.13
2007,5.99003240408054,7.18419198356382,4.31456914772676,1,30,347.988008198607,84.588,6.1,471.993604143031,1.29340551632077,2.9,2.16
2008,5.89925304578682,7.36725834131916,4.7870849006925,1,31,343.839306003594,84.746,6.2,597.215168368718,1.05446509508431,2.95,2.34
2009,5.87876855836629,7.53234479043839,4.24444628007024,1,32,335.872129769982,84.902,8.3,442.863454499283,1.10753227060604,3.08,2.44
2010,5.79948627849557,7.5768353331278,4.81235191658711,1,33,352.915720481518,85.056,8.6,531.268664086214,1.08002118721325,3.06,2.44
2011,5.70949363124328,7.55701300675975,5.46719682795725,1,34,354.388989769578,85.297,7.8,650.217281637932,1.06786815513131,3.06,2.44
2012,5.67335787621771,7.80104478070993,5.99201632052242,1,35,349.934224511199,85.62,8,675.269883771767,1.08613104886443,3.14,2.51
2013,5.6233702512541,7.70360727668919,5.67949071476819,1,36,354.182781086183,85.936,8,632.090867241229,0.897325604204061,3.13,2.5
2014,5.68421968162164,7.6986911429451,5.61636826845037,1,37,367.245507044183,86.247,7.9,607.170705555841,0.904307743176192,3.13,2.5
2015,5.57238080934242,7.745248716,4.8037544896,1,38,387.957317967551,86.553,7.4,395.300870297256,0.8653559224,3.25,2.6
2016,5.50374636914172,8.04726146856492,4.23055018730634,1,39,394.345011250794,86.852,6.9,331.718282255817,0.816157671241967,3.72,2.59
